SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,BYLINE,LANGUAGE,COUNTRY,SECTION,SP,STATE,JOURNAL-CODE,PUBLICATION-TYPE,LENGTH,LOAD-DATE,DATELINE,SUBJECT,TEXT
51,Agence France Presse -- Portuguese,"June 27, 2014","UE assina acordo de associação com Ucrânia, Geórgia e Moldávia",,,PORTUGUESE; PORTUGUÊS,Belgium,,,,,Boletim de noticías,380 palavras,"June 27, 2014",BRUXELAS 27 Jun 2014,SUBJECT:,"A União Europeia (UE) assinou nesta sexta-feira um acordo de associação com Ucrânia, Geórgia e Moldávia, três ex-repúblicas soviéticas que desejam uma aproximação da Europa, apesar das pressões da Rússia. ""É um grande dia para a Europa. A União Europeia está a seu lado, hoje mais do que nunca"", declarou Herman Van Rompuy, presidente do Conselho Europeu. O presidente ucraniano, Petro Poroshenko, o primeiro-ministro georgiano, Irakli Garibashvili, e o primeiro-ministro moldávio, Yuri Leanca, assim como os 28 chefes de Estado e de Governo da UE, assinaram o acordo durante uma reunião de cúpula em Bruxelas. ""Que grande dia! Possivelmente o mais importante para meu país desde a independência em 1991"", declarou Poroshenko. ""As evoluções históricas são inevitáveis"", completou o presidente ucraniano. Ele destacou que o acordo será aplicado em toda Ucrânia, ""inclusive na Crimeia"". Van Rompuy afirmou que ""nada, no acordo, afeta a Rússia"". ""O acordo é positivo. Não foi feito contra ninguém"", disse o presidente da Comissão Europeia, José Manuel Barroso. Mas o vice-ministro das Relações Exteriores da Rússia, Grigori Karasin, advertiu para as consequências. ""A assinatura por parte de Ucrânia e Moldávia do acordo terá graves consequências"", declarou à agência Interfax. Mas ele acrescentou que ""a assinatura de um documento tão importante é, certamente, um direito soberano de cada Estado"". O Kremlin afirmou que adotará medidas para defender sua economia no momento das consequências negativas. Poroshenko assinou ainda o segundo capítulo do acordo de associação, concretamente sobre o comércio, que pretende suprimir a maioria das barreiras alfandegárias entre a Ucrânia e os países da UE. O primeiro-ministro ucraniano, Arseni Yatseniuk, assinou na terça-feira o primeiro capítulo, de ordem política. O acordo de associação UE-Ucrânia é o mesmo que o antecessor de Poroshenko, o destituído Viktor Yanukovytch, se recusou a assinar em novembro, o que provocou uma onda de protestos, a queda de Yanukovytch e o conflito com a Rússia, que anexou em março a Crimeia a seu território. O acordo de associação, inédito na história da UE, representa uma ampla cooperação com os três países em troca de compromissos na luta contra a corrupção e para avançar em um Estado de direito. bur-jz-pa/fp"
52,Agence France Presse -- Portuguese,"June 27, 2014",ONU: 110.000 pessoas fugiram da Ucrânia para a Rússia em 2014,,,PORTUGUESE; PORTUGUÊS,Switzerland,,,,,Boletim de noticías,246 palavras,"June 27, 2014",GENEBRA 27 Jun 2014,SUBJECT:,"Um total de 110.000 pessoas fugiram da Ucrânia para a Rússia e outras 54.400 optaram por abandonar suas casas e seguir para outros pontos do país desde o início de 2014, anunciou nesta sexta-feira o Alto Comissariado das Nações Unidas para os Refugiados (ACNUR). ""O ACNUR constatou um claro aumento dos deslocamentos na Ucrânia"", afirmou a porta-voz da agência da ONU, Melissa Fleming. Ela destacou que apenas poucas pessoas que partiram para a vizinha Rússia solicitaram oficialmente asilo. Sobre os 54.400 deslocados internos, ""12.000 procedem da Crimeia e o restante de outras regiões do leste"", afirmou. Dos 110.000 que fugiram para a Rússia, apenas 9.000 pediram oficialmente asilo, destacou a porta-voz durante uma entrevista coletiva em Genebra. O ACNUR informou que 700 pessoas viajaram para Polônia, Belarus, República Tcheca e Romênia. ""As pessoas dizem que têm medo dos sequestros"", afirmou Fleming. A crise na Ucrânia começou com a rejeição do então presidente Viktor Yanukovytch de assinar um acordo comercial com a UE, optando por uma aproximação da Rússia. A decisão provocou uma onda de protestos dos manifestantes pró-Europa. A crise provocou a destituição de Yanukovytch, um conflito com a Rússia, que anexou a Crimeia a seu território em março, e a explosão de uma insurreição separatista pró-Rússia no leste do país. O atual presidente ucraniano, Petro Poroshenko, assinou nesta sexta-feira em Bruxelas o acordo comercial com a UE previsto inicialmente para novembro."
53,Agence France Presse -- Portuguese,"June 27, 2014",Governo de oposição sírio dissolve conselho militar por corrupção,,,PORTUGUESE; PORTUGUÊS,Lebanon,,,,,Boletim de noticías,287 palavras,"June 27, 2014",BEIRUTE 27 Jun 2014,SUBJECT:,"O governo da oposição síria no exílio dissolveu o conselho superior militar do Exército Sírio Livre (ASL), uma instância da rebelião moderada acusada de corrupção, segundo comunicado difundido nesta sexta-feira. A decisão foi tomada na noite de quinta-feira, no mesmo dia em que a Casa Branca anunciou que o presidente Barack Obama pediu ao Congresso que autorize um orçamento de 500 milhões de dólares para ""treinar e equipar"" a oposição moderada armada que luta contra o regime de Bashar al Assad há três meses. No terreno, esta oposição está ficando relegada a um segundo plano ante os jihadistas, principalmente os do Estado Islâmico do Iraque e Levante (EIIL), que desde o começo de junho realiza uma ofensiva agressiva no vizinho Iraque, depois de ter se apoderado de boa parte do leste da Síria. ""O chefe do governo provisório, Ahmad Tohmé decidiu dissolver o conselho militar superior e levar seus membros ante o comitê de controle financeiro e administrativo do governo para que sejam investigados"", segundo comunicado difundido no Facebook do Executivo. ""O chefe do Estado-Maior, general de brigada Abdel Ila al Bashir, também foi destituído"", afirma o texto, que pede ""às forças revolucionárias efetivas na Síria a formação de um conselho de defesa militar e uma reestruturação total do Estado-Maior antes de um mês"". O ASL está formado por soldados, oficiais e generais desertores aos quais se uniram os civis que pegaram em armas após a brutal repressão do regime em março de 2011 contra um movimento de protestos que pedia reformas. Mas, pouco a pouco, viram seus ativistas passando para as fileiras dos islamitas radicais e dos jihadistas, muitos deles procedentes do exterior, que estão melhor financiados e armados."
54,Agence France Presse -- Portuguese,"June 27, 2014",Ucrânia assina acordo com a UE em dia crucial para o leste do país,,,PORTUGUESE; PORTUGUÊS,Belgium,,,,,Boletim de noticías,815 palavras,"June 27, 2014",BRUXELAS 27 Jun 2014,SUBJECT:,"A Ucrânia assinou nesta sexta-feira um acordo de associação histórico com a União Europeia, o que provocou uma dura reação da Rússia, pressionada pela UE para que diminua a tensão no leste separatista do país. O presidente ucraniano, Petro Poroshenko, propôs prolongar o cessar-fogo decretado no leste da Ucrânia, ao mesmo tempo que exigiu a libertação dos reféns e o controle da fronteira entre seu país e a Rússia para evitar a entrada de armas, segundo uma fonte diplomática. Contudo, o chefe de Estado ucraniano se reserva a decisão de prolongar a trégua, que expira às 19H00 GMT (16h00 no horário de Brasília), até seu retorno à Kiev ainda esta noite, segundo a agência de notícias Interfax. Os líderes da UE, reunidos em Bruxelas, deram à Rússia até a próxima segunda-feira para que tome uma série de medidas concretas para facilitar a pacificação no leste da Ucrânia, sob pena de mais sanções, segundo um comunicado oficial da cúpula de Bruxelas divulgado nesta sexta-feira. As medidas concretas exigidas pelos líderes da UE incluem a libertação de todos os reféns na região, o retorno às autoridades ucranianas de três postos fronteiriços, negociações sobre o plano de paz ucraniano e um mecanismo de vigilância de sua aplicação. ""Que grande dia! Provavelmente o mais importante para meu país desde a independência em 1991"", declarou Poroshenko antes da assinatura deste acordo comercial, que pretende suprimir a maioria das barreiras alfandegárias entre a UE e a Ucrânia, país de 45 milhões de habitantes com importantes setores metalúrgicos e agrícolas. O acordo de associação UE-Ucrânia é o mesmo que o antecessor de Poroshenko, o destituído Viktor Yanukovytch, se recusou a assinar em novembro, o que provocou uma onda de protestos, a queda de Yanukovytch e o conflito com a Rússia, que anexou em março a Crimeia a seu território. Desde então, Kiev lançou uma operação militar para reprimir a insurreição separatista pró-russa no leste do país que já deixou mais de 400 mortos. ""É um grande dia para a Europa. A União Europeia está a seu lado, hoje mais do que nunca"", declarou por sua vez Herman Van Rompuy, presidente do Conselho Europeu. Na Rússia, o presidente Vladimir Putin lamentou a assinatura do acordo. ""O golpe de Estado inconstitucional em Kiev e as tentativas para impor ao povo ucraniano a escolha artificial entre Europa e Rússia empurraram a sociedade para a divisão e para um doloroso confronto interno"", declarou Putin a um canal de televisão russo. ""No sudeste do país corre o sangue, há uma catástrofe humanitária em curso, milhares de pessoas fogem dos combates buscando refúgio em outros lugares, entre eles a Rússia"", completou. Consequências graves A assinatura deste acordo acaba com as esperanças do presidente russo de incorporar a Ucrânia à recente União Econômica Euro-asiática, criada pela Rússia em parceria com outras ex-repúblicas soviéticas, Bielorrúsia e Cazaquistão. Geórgia e Moldávia, também ex-repúblicas soviéticas, assinaram nesta sexta-feira o mesmo acordo de associação com a UE. Mas o vice-ministro das Relações Exteriores da Rússia, Grigori Karasin, advertiu para as consequências. A Rússia teme a entrada em seu território de produtos fabricados na UE via Ucrânia em detrimento de sua produção nacional e considera que Kiev não pode manter relações comerciais privilegiadas com Bruxelas e Moscou ao mesmo tempo. Desta forma, o Kremlin garantiu que adotará medidas para defender sua economia no momento das consequências negativas. Durante a campanha eleitoral, o presidente ucraniano prometeu em maio orientar a Ucrânia em direção a Europa. Poroshenko considera que este acordo é um primeiro passo para a entrada de seu país na União Europeia. O primeiro-ministro ucraniano, Arseni Yatseniuk, assinou em março o primeiro capítulo do acordo com a UE de caráter político. 110.000 pessoas fogem da Ucrânia Na quinta-feira, Poroshenko disse estar disposto a alcançar um acordo de paz com Putin. Representantes de Kiev e líderes separatistas também iniciaram uma terceira rodada de negociações diretas em Donetsk, apesar de os combates continuarem. Segundo o Exército, cinco soldados ucranianos morreram quinta-feira à noite em ataques rebeldes. Desde o início de 2014, um total de 110.000 pessoas fugiram da Ucrânia para a Rússia e outras 54.400 optaram por abandonar suas casas e seguir para outros pontos do país, segundo o Alto Comissariado das Nações Unidas para os Refugiados (ACNUR). Além disso, o presidente da Organização para a Segurança e a Cooperação na Europa (OSCE), o suíço Didier Burkhalter, comemorou a libertação de quatro observadores sequestrados no leste da Ucrânia há um mês, mas pediu a libertação dos oito funcionários que permanecem detidos. Os quatro observadores sequestrados em 26 de maio por rebeldes pró-Rússia chegaram na quinta-feira à noite em um hotel de Donetsk, reduto dos separatistas no leste da Ucrânia. bur-blb/gmo/tjc/meb/me/mr"
55,Agence France Presse -- Portuguese,"June 27, 2014",Show de Marilyn Manson é cancelado na Rússia,,,PORTUGUESE; PORTUGUÊS,Russian Federation,,,,,Boletim de noticías,175 palavras,"June 27, 2014",MOSCOU 27 Jun 2014,SUBJECT:,"Um show do americano Marilyn Manson foi cancelado em Novosibirsk, a terceira maior cidade da Rússia, após os protestos dos ortodoxos que consideraram o espetáculo um insulto e uma promoção ao sadomasoquismo. ""O show de Marilyn Manson em Novosibirsk não acontecerá"", disseram os organizadores. ""As autoridades de todos os níveis se recusaram a nos dar a permissão para realizar o concerto no dia 29 de junho"", informou na quinta-feira a empresa Sibirskie Gastroli em um comunicado na rede social russa VKontakte. Os organizadores, que disseram ter lutado ""até o final"", informaram que devolverão o dinheiro dos ingressos. Centenas de ativistas religiosos protestaram contra o show, considerando que Manson insulta os crentes ortodoxos russos. Um ativista, que comemorou nesta sexta-feira o cancelamento do show, destacou os esforços do presidente russo Vladimir Putin para proteger a moral pública. ""As performances de Manson mais se parecem a um parque de diversões com uma inclinação sadomasoquista"", declarou o ativista Yuri Zadoya à rádio Eco de Moscou."
56,Agence France Presse -- Portuguese,"June 27, 2014",Ucrânia assina acordo com UE em dia crucial para o leste do país,,,PORTUGUESE; PORTUGUÊS,Belgium,,,,,Boletim de noticías,829 palavras,"June 27, 2014",BRUXELAS 27 Jun 2014,SUBJECT:,"A Ucrânia assinou nesta sexta-feira um acordo de associação histórico com a União Europeia, o que provocou uma dura reação da Rússia, pressionada pela UE para que diminua a tensão no leste separatista do país. O presidente ucraniano, Petro Poroshenko, decidiu prolongar o cessar-fogo decretado para o leste da ex-república soviética até segunda-feira, coincidindo com o prazo dado pela União Europeia para que Moscou adote medidas concretas para reduzir a tensão na região, de acordo com uma fonte diplomática da UE. Poroshenko também exigiu a libertação dos reféns, entre eles os observadores da Organização para a Segurança e a Cooperação na Europa (OSCE) e o fim da ""infiltração"" de armas e combatentes pela fronteira entre seu país e a Rússia, revelou a fonte. Os líderes da UE, reunidos em Bruxelas, deram à Rússia até a próxima segunda-feira para que adote uma série de medidas concretas para propiciar a pacificação no leste da Ucrânia, sob pena de mais sanções, segundo um comunicado oficial da cúpula de Bruxelas divulgado nesta sexta-feira. As medidas concretas exigidas pelos líderes da UE incluem a libertação de todos os reféns na região, o retorno às autoridades ucranianas de três postos fronteiriços, negociações sobre o plano de paz ucraniano e um mecanismo de vigilância de sua aplicação. ""Que grande dia! Provavelmente o mais importante para meu país desde a independência em 1991"", declarou Poroshenko antes da assinatura deste acordo comercial, que pretende suprimir a maioria das barreiras alfandegárias entre a UE e a Ucrânia, país de 45 milhões de habitantes com importantes setores metalúrgicos e agrícolas. O acordo de associação UE-Ucrânia é o mesmo que o antecessor de Poroshenko, o destituído Viktor Yanukovytch, se recusou a assinar em novembro, o que provocou uma onda de protestos, a queda de Yanukovytch e o conflito com a Rússia, que anexou em março a Crimeia a seu território. Desde então, Kiev lançou uma operação militar para reprimir a insurreição separatista pró-russa no leste do país que já deixou mais de 400 mortos. ""É um grande dia para a Europa. A União Europeia está a seu lado, hoje mais do que nunca"", declarou por sua vez Herman Van Rompuy, presidente do Conselho Europeu. Na Rússia, o presidente Vladimir Putin lamentou a assinatura do acordo. ""O golpe de Estado inconstitucional em Kiev e as tentativas para impor ao povo ucraniano a escolha artificial entre Europa e Rússia empurraram a sociedade para a divisão e para um doloroso confronto interno"", declarou Putin a um canal de televisão russo. ""No sudeste do país corre o sangue, há uma catástrofe humanitária em curso, milhares de pessoas fogem dos combates buscando refúgio em outros lugares, entre eles a Rússia"", completou. Consequências graves A assinatura deste acordo acaba com as esperanças do presidente russo de incorporar a Ucrânia à recente União Econômica Euro-asiática, criada pela Rússia em parceria com outras ex-repúblicas soviéticas, Belarus e Cazaquistão. Geórgia e Moldávia, também ex-repúblicas soviéticas, assinaram nesta sexta-feira o mesmo acordo de associação com a UE. Mas o vice-ministro das Relações Exteriores da Rússia, Grigori Karasin, advertiu para as consequências. A Rússia teme a entrada em seu território de produtos fabricados na UE via Ucrânia em detrimento de sua produção nacional e considera que Kiev não pode manter relações comerciais privilegiadas com Bruxelas e Moscou ao mesmo tempo. Desta forma, o Kremlin garantiu que vai adotar medidas para defender sua economia no momento das consequências negativas. Durante a campanha eleitoral, o presidente ucraniano prometeu em maio orientar a Ucrânia em direção a Europa. Poroshenko considera que este acordo é um primeiro passo para a entrada de seu país na União Europeia. O primeiro-ministro ucraniano, Arseni Yatseniuk, assinou em março o primeiro capítulo do acordo com a UE de caráter político. 110.000 pessoas fogem da Ucrânia Na quinta-feira, Poroshenko disse estar disposto a alcançar um acordo de paz com Putin. Representantes de Kiev e líderes separatistas também iniciaram uma terceira rodada de negociações diretas em Donetsk, apesar de os combates continuarem. De acordo com o Exército, cinco soldados ucranianos morreram na quinta-feira à noite em ataques rebeldes. Desde o início de 2014, um total de 110.000 pessoas fugiram da Ucrânia para a Rússia e outras 54.400 optaram por abandonar suas casas e seguir para outros pontos do país, segundo o Alto Comissariado das Nações Unidas para os Refugiados (Acnur). Além disso, o presidente da Organização para a Segurança e a Cooperação na Europa (OSCE), o suíço Didier Burkhalter, comemorou a libertação de quatro observadores sequestrados no leste da Ucrânia há um mês, mas pediu a libertação dos oito funcionários que permanecem detidos. Os quatro observadores sequestrados em 26 de maio por rebeldes pró-Rússia chegaram na quinta-feira à noite em um hotel de Donetsk, reduto dos separatistas no leste da Ucrânia. bur-blb/gmo/tjc/meb/me/mr/dm"
57,Agence France Presse -- Portuguese,"June 27, 2014",ONU: 110 mil pessoas fugiram da Ucrânia para a Rússia em 2014,,,PORTUGUESE; PORTUGUÊS,Switzerland,,,,,Boletim de noticías,374 palavras,"June 27, 2014",GENEBRA 27 Jun 2014,SUBJECT:,"Um total de 110 mil pessoas fugiram da Ucrânia para a Rússia, e outras 54,4 mil optaram por abandonar suas casas e seguir para outros pontos do país desde o começo de 2014, anunciou nesta sexta-feira o Alto Comissariado das Nações Unidas para os Refugiados (Acnur). ""O Acnur constatou um claro aumento dos deslocamentos na Ucrânia"", declarou a porta-voz Melissa Fleming, durante uma entrevista coletiva em Genebra em que destacou que a minoria das pessoas que partiram para a vizinha Rússia entraram com um pedido oficial de asilo. Em relação aos 54,4 mil refugiados internos, ""12 mil são procedentes da Crimeia e o restante, de outras regiões do leste"", assinalou Dos 110 mil que fugiram para a Rússia, apenas 9 mil entraram com um pedido oficial de asilo, acrescentou. Segundo o Acnur, outras 700 pessoas partiram para Polônia, Belarus, República Tcheca e Romênia. ""As pessoas dizem ter medo de sequestros, contou Melissa. Em Washington, a porta-voz do Departamento de Estado, Marie Harf, questionou a credibilidade das cifras, estimando que houve deslocamentos populacionais de um lado para o outro da fronteira. ""Não descarto a possibilidade de que milhares de pessoas tenham cruzado a fronteira de uma forma ou de outra. Mas essa ideia de que 100 mil ucranianos fugiram em massa pra a Rússia não é confiável"", declarou. Já a porta-voz do Acnur indicou que a maioria dos que cruzaram a fronteira são cidadãos de Donetsk e Lugansk (leste). As Nações Unidas apontaram em 16 de junho a existência de 34 mil refugiados internos na Ucrânia, mas a ONU só pôde identificar, então, 19 mil. A crise na Ucrânia começou com a rejeição do ex-presidente Viktor Yanukovytch à assinatura de um acordo comercial com a UE, preferindo se voltar para a Rússia, com o objetivo de obter ajuda econômica para a ex-república soviética, em recessão há mais de dois anos. A decisão provocou uma onda de protestos dos manifestantes pró-Europa, crise que causou a destituição de Yanukovytch, um conflito com a Rússia, que anexou a Crimeia a seu território em março, e uma rebelião separatista pró-Rússia no leste do país. O atual presidente ucraniano, Petro Poroshenko, acabou assinando nesta sexta-feira, em Bruxelas, o acordo comercial com a UE previsto para novembro passado."
58,Agence France Presse -- Portuguese,"June 28, 2014",Ucrânia espera consolidar frágil cessar-fogo no leste do país,,,PORTUGUESE; PORTUGUÊS,Ukraine,,,,,Boletim de noticías,699 palavras,"June 28, 2014",KIEV 28 Jun 2014,SUBJECT:,"A Ucrânia esperava neste sábado ações concreta da Rússia para fortalecer o frágil cessar-fogo com os rebeldes decretado no leste do país e que foi prorrogado por três dias, na esperança de abrir um diálogo para a paz. Os líderes da União Europeia, que na sexta-feira assinaram um acordo de associação histórico com a Ucrânia, para o descontentamento de Moscou, também exigiram que a Rússia adote até segunda-feira medidas para acabar com a insurgência separatista pró-russa, sob pena de novas sanções. O ministro russo da Economia, Alexei Oulioukaev, advertiu neste sábado que novas sanções poderiam ter ""sérias consequências"" para o crescimento do país. De acordo com o cenário mais pessimista, ""o crescimento econômico poderia entrar em território negativo: as taxas de investimento atingiriam níveis ainda mais negativos, a receita cairia, a inflação aumentaria e as reservas estatais diminuíram"", afirma. No campo de batalha, o Exército, que na quinta-feira denunciou ""violações em massa"" do cessar-fogo pelos rebeldes, declarou que esta noite foi ""relativamente calma"" e citou alguns ataques sem vítimas . ""Houve claramente alguns momentos de provocação, mas conseguimos controlar as coisas"", declarou o ministro da Defesa ucraniano, Mikhailo Koval. Na sexta-feira à noite, no entanto, os rebeldes tomaram o controle de uma base do ministério do Interior que abriga uma fábrica de munições na periferia de Donetsk, reduto insurgente. Neste sábado, os separatistas propuseram que os 100 soldados jurassem lealdade à Rússia ou voltassem para casa. Plano de paz no alvo A UE impôs a Moscou quatro condições que devem ser cumpridas até segunda-feira à tarde, incluindo a ""abertura de negociações sobre a aplicação do plano de paz"" do presidente ucraniano Petro Poroshenko. O plano, apresentado na semana passada, prevê o estabelecimento de uma zona de exclusão na fronteira entre a Ucrânia e a Rússia, com o estabelecimento de um corredor para permitir que os rebeldes e mercenários da Rússia voltem para casa após a entrega das armas, assim como uma descentralização do poder na região industrial de Donbass. A UE também exige um acordo sobre um ""mecanismo de verificação, supervisionado pela OSCE (Organização para a Segurança e Cooperação na Europa), do cessar-fogo"", o retorno das autoridades ucranianas em pontos de fronteira com a Rússia e a libertação dos reféns, incluindo todos os observadores da OSCE. Um líder rebelde da autoproclamada república separatista de Donetsk, Alexander Borodai, afirmou na sexta-feira que após a libertação na quinta-feira de quatro observadores da OSCE detidos desde 26 de maio, uma segunda equipe detida no leste desde 29 de maio deve ser liberada em breve. Ele falou depois de uma terceira rodada de consultas com representantes de Kiev. O presidente Petro Poroshenko anunciou na sexta-feira que o cessar-fogo ordenado às tropas há uma semana, e aceito alguns dias depois pelos rebeldes, foi prorrogado por 72 horas. No entanto, a presidência ucraniana ressaltou em um comunicado que ""as autoridades ucranianas se reservam o direito de acabar com a trégua, onde ela não for respeitada"". Novas tensões A extensão do acordo de cessar-fogo ocorre em meio a novas tensões entre Kiev e Moscou após a assinatura, em Bruxelas, da última parte de um acordo de associação com a União Europeia. Sobre o acordo, o presidente russo, Vladimir Putin, aproveitou a oportunidade para denunciar um ""golpe de Estado inconstitucional em Kiev"" que colocou Poroshenko no poder, apoiado pelo Ocidente. O vice-chanceler russo Grigory Karasin advertiu que este acordo teria ""sérias consequências"" nas relações comerciais com a Ucrânia, privada há duas semanas do abastecimento de gás russo em consequência da falta de acordo sobre o pagamento de sua dívida. O acordo de associação UE-Ucrânia é o mesmo que o antecessor de Poroshenko, o destituído Viktor Yanukovytch, se recusou a assinar em novembro, o que provocou uma onda de protestos, a queda de Yanukovytch e o conflito com a Rússia, que anexou em março a Crimeia a seu território. Desde então, Kiev lançou uma operação militar para reprimir a insurreição separatista pró-russa no leste do país que já deixou mais de 400 mortos. bur-blb/jh/mr/fp"
59,Agence France Presse -- Portuguese,"June 28, 2014",Frágil cessar-fogo no leste da Ucrânia é colocado à prova,,,PORTUGUESE; PORTUGUÊS,Ukraine,,,,,Boletim de noticías,781 palavras,"June 28, 2014",KIEV 28 Jun 2014,SUBJECT:,"A Ucrânia esperava neste sábado ações concretas da Rússia para fortalecer o frágil cessar-fogo com os rebeldes decretado no leste do país e que foi prorrogado por três dias, na esperança de iniciar um diálogo para a paz. Os líderes da União Europeia, que na sexta-feira assinaram um acordo de associação histórico com a Ucrânia, para o descontentamento de Moscou, também exigiram que a Rússia adote até segunda-feira medidas para acabar com a insurgência separatista pró-russa, sob pena de novas sanções. O ministro russo da Economia, Alexei Oulioukaev, advertiu neste sábado que novas sanções poderiam ter ""sérias consequências"" para o crescimento do país. De acordo com o cenário mais pessimista, ""o crescimento econômico poderia entrar em território negativo: as taxas de investimento atingiriam níveis ainda mais negativos, a receita cairia, a inflação aumentaria e as reservas estatais diminuíram"", afirma. No campo de batalha, o Exército, que na quinta-feira denunciou ""violações em massa"" do cessar-fogo pelos rebeldes, declarou que esta noite foi ""relativamente calma"" e citou alguns ataques sem vítimas. Contudo, durante o dia, um porta-voz das operações militares ucranianas, Oleksii Dmitrachkivski, anunciou a morte de três soldados em um ataque contra posições ucranianas perto de Slaviansk, reduto dos insurgentes. 'Melhor uma paz instável' Sem citar as novas perdas, o ministro ucraniano da Defesa, Mikhailo Koval, elevou o tom. ""Todo mundo sabe que é melhor uma paz instável do que uma boa guerra (...) Se não houver solução pacífica, nós destruíremos os separatistas"" que se recusarem a depor as armas, ameaçou, citado por uma agência de notícias ucrania. Por sua vez, os guardas de fronteira russos de Rostov-sur-le-Don afirmaram neste sábado que um posto de controle e vilarejos no território russo foram atingidos por três morteiros disparados pelo Exército ucraniano. Um prédio da alfândega foi atingido. O presidente Petro Poroshenko anunciou na sexta-feira à noite que o cessar-fogo ordenado às tropas há uma semana, e aceito alguns dias depois pelos rebeldes, foi prorrogado por 72 horas. No entanto, na sexta-feira à noite, os rebeldes tomaram o controle de uma base do ministério do Interior que abriga uma fábrica de munições na periferia de Donetsk, reduto insurgente. Neste sábado os separatistas propuseram que os 100 soldados jurassem lealdade à Rússia ou voltassem para casa. Libertar os reféns A UE impôs a Moscou quatro condições que devem ser cumpridas até segunda-feira à tarde, incluindo a ""abertura de negociações sobre a aplicação do plano de paz"" do presidente ucraniano Petro Poroshenko. O plano, apresentado na semana passada, prevê o estabelecimento de uma zona de exclusão na fronteira entre a Ucrânia e a Rússia, com o estabelecimento de um corredor para permitir que os rebeldes e mercenários da Rússia voltem para casa após a entrega das armas, assim como uma descentralização do poder na região industrial de Donbass. A UE também exige um acordo sobre um ""mecanismo de verificação, supervisionado pela OSCE (Organização para a Segurança e Cooperação na Europa), do cessar-fogo"", o retorno das autoridades ucranianas em pontos de fronteira com a Rússia e a libertação dos reféns, incluindo todos os observadores da OSCE. Um líder rebelde da autoproclamada república separatista de Donetsk, Alexander Borodai, afirmou na sexta-feira que após a libertação na quinta-feira de quatro observadores da OSCE detidos desde 26 de maio, uma segunda equipe detida no leste desde 29 de maio deve ser liberada em breve. Ele falou depois de uma terceira rodada de consultas com representantes de Kiev. A extensão do acordo de cessar-fogo ocorre em meio a novas tensões entre Kiev e Moscou após a assinatura, em Bruxelas, da última parte de um acordo de associação com a União Europeia. Sobre o acordo, o presidente russo, Vladimir Putin, aproveitou a oportunidade para denunciar um ""golpe de Estado inconstitucional em Kiev"" que colocou Poroshenko no poder, apoiado pelo Ocidente. O vice-chanceler russo Grigory Karasin advertiu que este acordo teria ""sérias consequências"" nas relações comerciais com a Ucrânia, privada há duas semanas do abastecimento de gás russo em consequência da falta de acordo sobre o pagamento de sua dívida. O acordo de associação UE-Ucrânia é o mesmo que o antecessor de Poroshenko, o destituído Viktor Yanukovytch, se recusou a assinar em novembro, o que provocou uma onda de protestos, a queda de Yanukovytch e o conflito com a Rússia, que anexou em março a Crimeia a seu território. Desde então, Kiev lançou uma operação militar para reprimir a insurreição separatista pró-russa no leste do país que já deixou mais de 400 mortos. bur-blb/jh/mr/fp"
60,Agence France Presse -- Portuguese,"June 29, 2014",EIIL crucifica oito rebeldes sírios perto de Aleppo (ONG),,,PORTUGUESE; PORTUGUÊS,Lebanon,,,,,Boletim de noticías,206 palavras,"June 29, 2014",BEIRUTE 29 Jun 2014,SUBJECT:,"O Estado Islâmico no Iraque e no Levante (EIIL) executou oito rebeldes na Síria antes de crucificar seus corpos em público em Deir Hafer, uma cidade na província de Aleppo (norte), onde permanecerão por três dias, informou neste domingo uma ONG. Os rebeldes sírios também enfrentam pela primeira vez os jihadistas do EIIL, antigos aliados em sua luta contra o regime sírio, na província de Damasco, segundo o Observatório Sírio dos Direitos Humanos (OSDH). Desde janeiro, cerca de 6.000 pessoas, a maioria combatentes, foram mortos nos confrontos entre o EIIL e a aliança entre Frente Al-Nosra, um ramo da Al-Qaeda na Síria, e os rebeldes moderados. De acordo com ativistas, a ofensiva lançada pelo grupo jihadista no Iraque parece ter fortalecido a sua presença na Síria. Por sua vez, a força aérea síria, apoiada pelos combatentes do movimento xiita libanês Hezbollah, lançou foguetes e mísseis terra-terra contra posições rebeldes perto da capital, de acordo com os Comitês de Coordenação Local, uma rede de militantes. A guerra na Síria, que começou há mais de três anos com uma onda de protestos pacíficos que rapidamente degeneraram em conflito armado, deixou 162 mil mortos e mais de nove milhões de deslocados. ser-rm/ram/faa/tjc/me/mr"
