SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,BYLINE,LANGUAGE,COUNTRY,SECTION,STATE,JOURNAL-CODE,PUBLICATION-TYPE,LENGTH,LOAD-DATE,DATELINE,SUBJECT,TEXT
44,Agence France Presse -- Portuguese,"July 7, 2014",Coreia do Norte enviará animadoras de torcida aos Jogos Asiáticos da Coreia do Sul,,,PORTUGUESE; PORTUGUÊS,"Korea, Republic of",,,,Boletim de noticías,222 palavras,"July 7, 2014",SEUL 07 Jul 2014,SUBJECT:,"As autoridades norte-coreanas anunciaram nesta segunda-feira que enviarão um grupo de animadoras de torcida aos Jogos Asiáticos que serão realizados na Coreia do Sul, no que parece ser um gesto de boa vontade após o lançamento de uma série de mísseis de teste. Segundo um comunicado divulgado pela agência oficial de notícias KCNA, a delegação de animadoras para os Jogos Asiáticos, que serão realizados de 19 de setembro a 4 de outubro em Incheon, ""ajudará a descongelar as relações Norte-Sul"". A última vez que o Norte enviou este tipo de delegação ao Sul foi durante o Campeonato de Atletismo da Ásia, realizado também em Incheon de 2005. Na época, uma das animadoras era Ri Sol-Ju, a atual esposa do líder norte-coreano, Kim Jong-un. O ministro da Unificação sul-coreano disse que o país receberá os atletas norte-coreanos e o grupo de animadoras. A Coreia do Norte anunciou em maio a decisão de enviar atletas aos Incheon Asiad, apesar das tensões provocadas pelos exercícios militares conjuntos de Coreia do Sul e Estados Unidos. Pyongyang boicotou os Jogos Olímpicos de Seul de 1988, mas enviou atletas e animadoras aos Jogos Asiáticos de 2002 na cidade sul-coreana de Busan. O anúncio desta segunda-feira ocorre após uma série de lançamentos de mísseis de teste ao mar do Japão (mar oriental), que gerou protestos de Tóquio e Seul."
45,Agence France Presse -- Portuguese,"July 7, 2014","Morre Eduard Shevardnadze, diplomata fundamental no fim da Guerra Fria",,,PORTUGUESE; PORTUGUÊS,Georgia,,,,Boletim de noticías,829 palavras,"July 7, 2014",TBILISI 07 Jul 2014,SUBJECT:,"O último chanceler da União Soviética, Eduard Shevardnadze, figura chave no fim da Guerra Fria, faleceu nesta segunda-feira aos 86 anos, afastado da política desde sua renúncia à presidência da Geórgia em 2003. ""O senhor Shevardnadze faleceu ao meio-dia, hora local"", anunciou à AFP sua assistente Marina Davitashvil. ""Estava doente há muito tempo"", disse. Shevardnadze teve um papel essencial na Perestroika, a ""reestruturação"" lançada no fim dos anos 80 pelo líder soviético Mikhail Gorbachev com a intenção de reformar o engessado sistema soviético e que terminou em 1991 com o desmembramento da URSS. Como ministro das Relações Exteriores soviético, negociou tratados de desarmamento nuclear com os Estados Unidos e facilitou os processos de democratização dos países comunistas do leste europeu, o que resultou na queda do Muro de Berlim em 1989 e na posterior reunificação da Alemanha. ""Não acredito que a Guerra Fria teria acabado de forma pacífica sem ele [...] Este homem é um herói"", afirmou no ano 2000 James Baker, ex-secretário de Estado americano, que passou muitas horas em negociações com Shevardnadze. Mas o fim da carreira política de Shevardnadze foi menos glorioso: eleito presidente da Geórgia independente em 1995, foi obrigado a renunciar em 2003, em plena ""Revolução das Rosas"", e deixou um país empobrecido e à beira do caos. ""Era um homem muito capaz, de talento, muito aberto para trabalhar com todas as classes sociais"", declarou Gorbachev à rádio Eco de Moscou. O presidente russo Vladimir Putin apresentou ""sinceras condolências à família e a seu entorno, assim como ao povo da Geórgia"". Um comunista exemplar Shevardnadze nasceu em 25 de janeiro 1928 em Mamati, um vilarejo da Geórgia, ex-república soviética onde também nasceu o ditador soviético Josef Stalin. Ele se filiou ao Partido Comunista aos 20 anos e teve uma ascensão fulgurante. Em 1968 foi nomeado ministro do Interior da Geórgia e quatro anos mais tarde primeiro secretário do PC nesta pequena república soviética. Durante o período, liderou tanto uma ousada campanha contra a corrupção como uma repressão implacável da dissidência. Em 1978, chegou a Moscou como integrante do Bureau Político do PC soviético, para o qual um ano mais tarde entraria Gorbachev, o membro mais jovem da instância muito poderosa. Os dois compartilhavam a convicção de que a URSS precisava de reformas urgentes. Em 1985, quando Gorbachev assumiu o posto de secretário-geral do Partido Comunista, atribuiu a Shevardnadze o comando da diplomacia soviética. Suas ações refletiram a política de ruptura. Shevardnadze teve um papel preponderante no avanço das negociações de desarmamento nuclear e resistiu aos pedidos de intervenção soviética para respaldar os dirigentes do leste europeu ante os movimentos pró-democracia que acabaram por derrubar as ditaduras. Na política interna, enfrentou os ortodoxos que tentavam acabar com a Perestroika. Renunciou ao cargo um ano antes do colapso da URSS, mas voltou a ocupar o posto de chanceler durante um curto período nos últimos meses do regime. Um político veterano não tão hábil Sua Geórgia natal afundava no caos. O primeiro presidente da era pós-soviética, Zviad Gamsajurdia, foi rapidamente derrubado por um golpe de Estado. A guerra civil parecia inevitável e Shevardnadze foi nomeado à frente do Conselho de Estado para tentar justamente evitar o conflito. O êxito foi parcial: a Geórgia perdeu os territórios pró-Moscou da Abkhazia e da Ossétia do Sul, mas o restante do país conseguiu manter a unidade, contra muitas previsões. Em 1995, Shevardnadze foi eleito presidente e suas primeiras ações provocaram muita esperança. O país aprovou uma Constituição de estilo ocidental e conseguiu o apoio dos Estados Unidos e da União Europeia. As tensões persistiam e Shevardnadze conseguia evitar o pior - incluindo duas tentativas de assassinato em 1995 e 1998-, o que lhe valeu o apelido de ""raposa velha"". Em 2000 foi reeleito, mas os recursos - e as ilusões que provocou no primeiro mandato - chegavam ao fim. Os críticos o acusaram de estabelecer pactos com grupos mafiosos. A criminalidade e a corrupção registraram um forte aumento e o Estado, incapaz de assegurar uma arrecadação fiscal, ficou à beira da falência. A qualidade de vida e os serviços públicos desmoronaram rapidamente. Em 2003, as fraudes nas eleições legislativas acabaram com a paciência dos georgianos, que saíram às ruas para exigir uma nova votação. Em um primeiro momento, Shevardnadze se negou a ceder e concentrou as tropas na região de Tbilisi. Mas por fim aceitou os protestos e renunciou ao cargo, um gesto que valeu algum reconhecimento por ter evitado mais uma vez, e desta vez em seu país, um banho de sangue. Shevardnadze recebeu nos últimos anos uma pequena pensão e morava em uma residência oficial de Tbilisi, onde escreveu suas memórias. Estava cercado de fotos que o mostravam ao lado dos antigos amigos durante os anos de glória, quando contribuiu para forjar o destino da Europa. mm-emc/fp"
46,Agence France Presse -- Portuguese,"July 7, 2014",Subsecretário de Estado dos EUA é 'persona non grata' no Bahrein,,,PORTUGUESE; PORTUGUÊS,United Arab Emirates,,,,Boletim de noticías,244 palavras,"July 7, 2014",DUBAI 07 Jul 2014,SUBJECT:,"O governo do Bahrein declarou o subsecretário de Estado americano Tom Malinowski ""persona non grata"", nesta segunda-feira, solicitando que deixe o país ""imediatamente"". Em uma nota, a Chancelaria desse pequeno reino sunita do Golfo Pérsico denunciou a ""ingerência"" do representante americano ""nos assuntos internos"" do Bahrein. Publicado pela agência BNA, o comunicado acusa o diplomata americano de ter se reunido com ""um partido em particular em detrimento de outros interlocutores"" - uma referência à oposição xiita. Segundo fontes no Bahrein, Malinowski se reuniu com representantes do principal partido de oposição xiita, Al-Wefaq. A porta-voz do Departamento de Estado, Jen Psaki, afirmou que Malinowski ""está no Bahrein"" e ""permanece no Bahrein"". O subsecretário de Estado, encarregado da Democracia, Direitos Humanos e do Trabalho, está de visita para ""reforçar as relações bilaterais e apoiar os esforços de reformas do rei e os esforços de reconciliação em um momento importante, em especial, a respeito dos acontecimentos na região"". O ministro barenita das Relações Exteriores garantiu que os laços entre essa monarquia do Golfo e os Estados Unidos não serão afetadas por essa crise. Situado no Golfo de frente para o Irã, o Bahrein abriga o quartel-general de um destacamento da frota americana. Desde fevereiro de 2011, esse reino dirigido por uma dinastia sunita enfrenta um movimento de protestos da maioria xiita, que reivindica uma monarquia constitucional."
47,Agence France Presse -- Portuguese,"July 8, 2014",Guatemala declara estado de calamidade em área afetada por terremoto,,,PORTUGUESE; PORTUGUÊS,Gautemala,,,,Boletim de noticías,229 palavras,"July 8, 2014","SAN PEDRO SACATEPEQUEZ, Guatemala 08 Jul 2014",SUBJECT:,"O presidente da Guatemala, Otto Pérez, declarou nesta terça-feira estado de calamidade em sete departamentos afetados por um forte terremoto na fronteira com o México, que deixou um morto e milhares de afetados no país. ""Pelos resultados que temos escutado, declaramos estado de calamidade pública"", afirmou Pérez em coletiva de imprensa, depois de visitar a cidade de San Pedro Sacatepéquez (oeste), uma das mais afetadas pelo tremor, de magnitude 6,9. O presidente explicou que ""foram dadas as instruções"" para declarar essa medida de emergência, prevista para durar 30 dias. O objetivo é possibilitar um auxílio maior às pessoas afetadas pelo terremoto. Os estados onde a medida será imposta são San Marcos, Huehuetenango, Quetzaltenango, Totonicapán, Sololá (oeste), Retalhuleu e Suchitepéquez (sudoeste). A visita de Pérez a San Pedro Sacatepéquez - a cerca de 260km a oeste da capital, Cidade da Guatemala - teve momentos de tensão, devido a protestos de moradores, que pediam que as declarações do presidente à imprensa fossem amplificadas por alto-falantes. O número de feridos aumentou de 81 para 113. A única vítima foi um bebê com apenas um dia de vida, esmagado por parte de um teto no hospital de San Marcos, segundo fontes oficiais. O número de guatemaltecos afetados pelo tremor chegou a 25.434, enquanto 523 casas sofreram danos, entre elas 220 com problemas graves."
48,Agence France Presse -- Portuguese,"July 9, 2014",Críticos da Copa também lamentam derrota do Brasil,,,PORTUGUESE; PORTUGUÊS,Brazil,,,,Boletim de noticías,264 palavras,"July 9, 2014","PLANALTINA, Brasil 09 Jul 2014",SUBJECT:,"Em seus barracos de madeira, muitos moradores do assentamento Esperança, a 40 km de Brasília, desligaram suas TVs com tristeza após a derrota do Brasil para a Alemanha por 7 a 1, nesta terça-feira, na semifinal da Copa do Mundo. ""Já não consigo ver mais"", disse uma mulher chorando antes do final da partida. ""Para que gastar tanto com os estádios, trazer a Copa do Mundo para o Brasil? Para não ganhar nada?!"" - perguntou María José Costa Almeida, 35 anos. ""Agora muita gente se dará conta disto"". ""Esperança de um Novo Milênio"" é um assentamento irregular onde vivem 52 famílias em barracos desde 2010, nos arredores da cidade de Planaltina. Boa parte dos moradores são do Movimento dos Trabalhadores Sem Teto (MTST), que se fez muito visível nos protestos contra os gastos públicos com a Copa, e exige mais casas populares em um país com déficit de seis milhões de residências. Maria Rita dos Santos, 53 anos e sete filhos, chegou ao assentamento quando ficou viúva: ""não tínhamos condição de pagar aluguel, só nos restou juntar as coisas e fazer um barraco"". ""Com o futebol, se o Brasil ganha, você se esquece das dificuldades"". Cristina Oliveira, de 32 anos e cinco filhos, destacou que ""todos sabiam que a Copa acabaria e que voltaríamos aos nossos problemas, à chuva, a nossas casas inundadas"", mas ninguém esperava uma derrota assim. ""Criticamos o legado da Copa, que são estádios muito caros e inflação muito alta. Não somos contra a Copa, mas sim contra gastos e medidas como a especulação imobiliária que afetou muitas famílias"", destacou Edson Silva, um líder do MTST em Brasília."
49,Agence France Presse -- Portuguese,"July 9, 2014",Índios amazônicos apresentam propostas para cúpula do clima no Peru,,,PORTUGUESE; PORTUGUÊS,Peru,,,,Boletim de noticías,360 palavras,"July 9, 2014",LIMA 09 Jul 2014,SUBJECT:,"Líderes indígenas amazônicos de nove países da região apresentaram nesta quarta-feira propostas de proteção ambiental e florestal, que esperam sejam tratadas na cúpula sobre mudanças climáticas que será celebrada em dezembro, em Lima. Associações e organizações indígenas fizeram uma lista de propostas que apresentam em coletiva de imprensa na capital peruana perante as autoridades locais do Programa das Nações Unidas para o Desenvolvimento (PNUD) e do ministério do Ambiente do Peru. As propostas incluem a implementação do programa ""Amazônia Indígena Viva para a Humanidade"", com recursos de 210 milhões de dólares, para ser aplicado nos 210 milhões de hectares - à razão de um dólar por hectare - nos quais estão distribuídos os povos amazônicos dos países que abrangem a bacia. Este programa deve permitir desenvolver planos para melhorar a qualidade de vida dos indígenas e dar títulos territoriais, assim como o manejo holístico dos recursos naturais, anunciou Alberto Pizango, um líder que chefia a Associação Interétnica de Desenvolvimento da Selva Peruana (AIDESEP). ""Os povos indígenas são guardiões das florestas. A cúpula COP20 é uma oportunidade para fazer ouvir nossa voz"", disse Cándido Mezua, indígena panamenho líder da Aliança Mesoamericana de Povos e Florestas (AMPB). As entidades reivindicaram, ainda, que todo projeto de desenvolvimento ou extração em seus territórios se adeque aos direitos, cosmovisões e propostas das comunidades nativas. Pediram, também, o reconhecimento de que ""a livre determinação dos povos indígenas ajuda à humanidade e que sua criminalização agrava a crise climática"". Neste sentido, exigiram ""o cessar da perseguição"" a indígenas que estão sendo julgados no Peru pela defesa de seus territórios e recursos. Líderes e membros de comunidades amazônicas começaram a ser julgados em maio pela morte de 18 policiais e civis. O julgamento na cidade de Bagua, na região do Amazonas (nordeste), pôs no banco dos réus 23 indígenas de um total de 53 acusados após violentos enfrentamentos entre forças policiais e indígenas ocorridos em 5 de junho de 2009, no âmbito de um protesto contra um pacote de leis a favor de petroleiras."
50,Agence France Presse -- Portuguese,"July 10, 2014",Kerry chega ao Afeganistão para tratar da crise política,,,PORTUGUESE; PORTUGUÊS,Afghanistan,,,,Boletim de noticías,361 palavras,"July 10, 2014",CABUL 10 Jul 2014,SUBJECT:,"O secretário de Estado americano, John Kerry, aterrissou de surpresa nesta sexta-feira no Afeganistão para tentar reduzir a tensão decorrente das acusações de fraude na eleição presidencial. Kerry chegou a Cabul por volta das 4h (17h10 de Brasília), procedente de Pequim, para se reunir com autoridades afegãs, incluindo os candidatos Abdullah Abdullah e Ashraf Ghani. De Pequim, algumas horas antes, Kerry disse esperar o país encontre, ""nos próximos dias"" a forma de ""tomar as rédeas de seu futuro"" nesse ""momento crítico"" de sua história. O secretário se referia à divergência entre Abdullah e Ghani sobre os resultados do segundo turno das eleições. O impasse pode levar a um aumento da tensão interconfessional e a uma espiral de violência, a poucos meses da retirada da Otan do país. Abdula Abdula acusa Ashraf Ghani de ter-se beneficiado da fraude eleitoral ""em escala industrial"" no segundo turno de 14 de junho passado. Abdullah se proclamou vencedor da eleição um dia depois da divulgação dos primeiros resultados oficiais que colocam Ashraf Ghani na liderança (56,4%). Desde então, as duas equipes não tiveram qualquer contato direto, relatou uma fonte ligada a um dos candidatos. Em um comunicado, o chefe da assessoria de imprensa do Departamento de Estado americano, Jeff Rathke, explicou que Kerry se ""reunirá com autoridades afegãs, incluindo os candidatos à presidência Abdullah Abdullah e Ashraf Ghani, e com o presidente Hamid Karzai"". Kerry ""abordará a transição política em curso, insistindo na mensagem do presidente (Barack Obama), segundo o qual nós esperamos um exame completo de todas as acusações razoáveis de fraude e que não aceitaremos qualquer medida anticonstitucional"", acrescentou Rathke. Washington quer se manter neutro em relação aos candidatos, mas deseja, esclarece a nota, ""um processo crível, transparente e aberto que afirme o compromisso dos afegãos com a democracia"". Abdullah reivindica um exame das suspeitas de fraude maior do que o previsto pela comissão eleitoral. Embora tenha evitado agravar a situação, ao não convocar protestos da população, ou formar um governo paralelo, ele repetiu que não aceitará a derrota anunciada."
51,Agence France Presse -- Portuguese,"July 11, 2014","Síria: com chegada de deslocados, população no litoral aumentou em 50% (CICV)",,,PORTUGUESE; PORTUGUÊS,Syrian Arab Republic,,,,Boletim de noticías,243 palavras,"July 11, 2014",DAMASCO 11 Jul 2014,SUBJECT:,"As principais cidades litorâneas sírias, Latakia e Tartous, relativamente poupadas da guerra, registraram um aumento de 50% de sua população em três anos, com a chegada de um milhão de deslocados, afirmou o Comitê Internacional da Cruz Vermelha (CICV). ""Mais de um milhão de pessoas chegaram a Latakia e a Tartous desde o início do conflito (em março de 2011), aumentando sua população em 50%"", indicou o CICV em um comunicado. Patrick Luisier, engenheiro hidráulico do CICV, alertou para o impacto da chegada massiva de pessoas, tanto sobre os deslocados como sobre a população local. ""Os recursos locais estão sobrecarregados e as autoridades lutam para enfrentar os problemas causados pela chegada de famílias que fogem de Aleppo e de outras regiões diretamente afetadas pela violência"", explicou, referindo-se à província localizada próximo às cidades litorâneas. A maior parte dos deslocados está alojada em abrigos temporários. ""Muitas famílias chegaram com poucos recursos, e as condições de vida na maior parte desses abrigos são difíceis"", acrescentou Luisier. O litoral sírio é o reduto da comunidade alauíta, à qual pertence o presidente Bashar al-Assad. A guerra na Síria começou com um movimento de protesto pacífico e se transformou em um conflito armado diante da forte repressão do regime. Durante os últimos meses, o cenário do conflito mudou com o avanço do grupo ultra-radical Estado Islâmico, que controla a maior parte do leste do país. ser-rm/dm"
52,Agence France Presse -- Portuguese,"July 11, 2014",Berlim e Washington abordarão em Viena casos de suposta espionagem,,,PORTUGUESE; PORTUGUÊS,Germany,,,,Boletim de noticías,520 palavras,"July 11, 2014",BERLIM 11 Jul 2014,SUBJECT:,"Os chefes da diplomacia alemã e americana se reunirão no domingo em Viena para tentar resolver a crise iniciada entre os dois aliados depois que Berlim descobriu o caso de dois supostos espiões duplos que trabalhavam para Washington. ""Queremos reativar nossa associação, nossa amizade com bases sinceras. Estamos preparados. Esta também será a mensagem que vou transmitir ao meu colega americano, John Kerry, quando me reunir com ele em Viena"", durante negociações sobre o programa nuclear iraniano, disse o ministro alemão das Relações Exteriores, Frank-Walter Steinmeier, em uma coletiva de imprensa. ""Apesar dos acontecimentos das últimas semanas, que são preocupantes (...) nossa aliança com os Estados Unidos é indispensável para mim"", sustentou o ministro. A descoberta de dois supostos espiões pagos por Washington é o ponto culminante de vários meses de tensão diplomática entre Alemanha e Estados Unidos causada pelos métodos de espionagem do governo americano que, segundo as revelações do ex-consultor Edward Snowden, incluíram a interceptação das comunicações da chanceler Angela Merkel. O governo alemão anunciou na quinta-feira a expulsão do chefe dos serviços secretos americanos na Alemanha, após a descoberta desses dois supostos espiões, uma decisão incomum entre aliados da Otan. Os analistas concordam que a crise é grave, embora seja provável que ambas as partes se esforcem para preservar este vínculo transatlântico de suma importância, principalmente no contexto atual de muitas crises internacionais. Em Berlim, o tom era conciliador. Martin Schafer, porta-voz de Steinmeier, rejeitou o termo ""escalada"". O porta-voz de Merkel, Steffen Seibert, afirmou que as tensões não afetam as negociações em andamento sobre um tratado de livre comércio entre Europa e Estados Unidos. ""Não houve telefonema algum da chanceler (Angela Merkel) para Washington e não há nada programado até o momento, mas vocês sabem que a chanceler e o presidente americano mantêm boas relações"", afirmou o porta-voz da chefe do governo alemão. Em Washington, o presidente Barack Obama permaneceu em silêncio, mas a Casa Branca ressaltou na quinta-feira a importância das relações com a Alemanha, evitando comentar os casos de espionagem. Merkel 'não é o cachorrinho de Obama' A imprensa alemã, que apoia em uníssono Merkel, adotava um tom menos diplomático. ""Este é um momento decisivo na história das relações germano-americanas"", considerou o jornal de centro-esquerda Süddeutsche Zeitung, em referência à expulsão do chefe dos serviços secretos dos Estados Unidos. Trata-se de ""um ato de protesto sem precedentes contra a arrogância dos Estados Unidos"", acrescentou. ""Merkel não é o cachorrinho de Obama. A mensagem que (Merkel) enviou foi clara e indispensável"", considerou o jornal Frankfurter Allgemeine Zeitung. ""A crise atual é muito grande"", declarou à AFP Henning Riecke, especialista em relações transatlânticas do Conselho Alemão de Política Externa (DGAP), um grupo de estudos com sede em Berlim. ""Os alemães não entendem por que os Estados Unidos espionam (um aliado) para defender seus interesses"", disse. bur-aro/fjb/meb/eg/ma/dm"
53,Agence France Presse -- Portuguese,"July 12, 2014",Ofensiva israelense em Gaza deixa mais de 120 mortos,,,PORTUGUESE; PORTUGUÊS,ZZZ,,,,Boletim de noticías,617 palavras,"July 12, 2014",JERUSALEM 12 Jul 2014,SUBJECT:,"Os ataques aéreos israelenses contra Gaza prosseguiam neste sábado, no quinto dia de uma ofensiva que provocou a morte de mais de 120 palestinos. O movimento radical Hamas, que governa a Faixa de Gaza, manteve a postura de desafio e lançou seis foguetes contra Israel desde meia-noite. O grupo rejeita os apelos internacionais pelo fim das hostilidades e alega que Israel deve aplicar o cessar-fogo primeiro. Em um esforço diplomático para tentar acabar com a violência, o presidente dos Estados Unidos, Barack Obama, ligou para o primeiro-ministro israelense Benjamin Netanyahu para oferecer a mediação e restabelecer a calma no Oriente Médio. Mas em uma entrevista coletiva, Netanyahu descartou o fim da ofensiva militar contra Gaza antes de alcançar o objetivo de deter os ataques do Hamas. ""Nenhuma pressão internacional nos impedirá de atacar, com toda nossa força, as organizações terroristas que proclamam nossa destruição"", declarou Netanyahu. Depois de semanas de ataques com foguetes, Israel parece decidido a aplicar um golpe fatal no Hamas. Ao mesmo tempo, Ismail Haniya, ex-primeiro-ministro de Gaza e principal nome do Hamas no território, descartou a possibilidade de interromper as hostilidades. ""Israel começou esta agressão e tem que parar. Nós estamos apenas nos defendendo"", disse. Intervenção terrestre? Os preparativos para um possível ataque terrestre continuam e Israel já convocou 40.000 reservistas. Jornalistas da AFP observaram tanques israelenses em deslocamento durante a noite na direção de Gaza. ""No momento estamos na primeira fase: ataques aéreos. Imagino que decidiremos no domingo sobre a próxima etapa"", afirmou na sexta-feira o ministro das Relações Exteriores, Avigdor Lieberman. O novo conflito é o mais violento desde a operação ""Pilar de Defesa"" de novembro de 2012. Os ataques dos dois lados na ocasião provocaram as mortes de 177 palestinos e de seis israelenses. Em Gaza, 16 palestinos morreram neste sábado em uma onda de bombardeios israelenses. No total, a operação israelense ""Protective Edge"" (""Barreira Protetora"") deixou até o momento 121 mortos e 700 feridos, em sua maioria civis. O exército israelense anunciou que ""afetou significativamente as capacidades do Hamas"". A aviação atingiu 158 objetivos vinculados ao Hamas em 24 horas na Faixa de Gaza, incluindo 68 lança-foguetes, 21 bases paramilitares e esconderijos de armas, um deles dissimulado dentro de uma mesquita, segundo um comunicado militar. Mais de 520 foguetes foram lançados a partir de Gaza e 138 destruídos em pleno voo desde o início das hostilidades. Até o momento não foram registradas vítimas fatais do lado israelense, apenas feridos. O novo episódio de violência começou após o sequestro e assassinato de três estudantes israelenses no início de junho na Cisjordânia ocupada, crimes que Israel atribuiu ao Hamas. Pouco depois, um jovem palestino foi assassinado em Jerusalém por judeus de extrema-direita. A ofensiva de Israel contra Gaza provocou uma onda de protestos dos países árabes. O secretário-geral da ONU, Ban Ki-moon, pediu um cessar-fogo. Os ministros das Relações Exteriores da Liga Árabe se reunirão na segunda-feira no Cairo para abordar a crise. O Egito, mediador tradicional nos conflitos entre Israel e Hamas, permanece mais 'neutro' na crise. O governo egípcio informou na sexta-feira que mobilizou esforços para deter a violência, mas esbarrou na ""teimosia"" das duas partes. Com a crise em Gaza, 34 associações humanitárias internacionais apelaram por um cessar-fogo e pelo respeito aos direitos humanos no território palestino. A Anistia Internacional pediu à ONU uma investigação internacional independente sobre as violações do direito internacional dos dois lados. bur-agr/fp"
54,Agence France Presse -- Portuguese,"July 12, 2014","Brasil dará prioridade absoluta aos Jogos Olímpicos, afirma o COI",,,PORTUGUESE; PORTUGUÊS,Brazil,,,,Boletim de noticías,354 palavras,"July 12, 2014",BRASïLIA 12 Jul 2014,SUBJECT:,"Os Jogos Olímpicos do Rio-2016 serão uma ""prioridade absoluta"" para o governo brasileiro a partir de segunda-feira, ao fim da Copa do Mundo, afirmou o presidente do Comitê Olímpico Internacional (COI) após um encontro com a presidente Dilma Rousseff. ""Fiquei satisfeito ao constatar que a presidente Rousseff considera os Jogos e o que eles representarão, e foi muito bom ouvir que os Jogos e seu legado serão uma prioridade absoluta"", declarou Thomas Bach à imprensa. ""Tanto ela e seu governo como o COI compartilham as mesmas prioridades. E isto significa fazer dos Jogos Olímpicos de 2016 um grande sucesso"", insistiu. O COI contribuirá com 1,5 bilhão de dólares aos Jogos, ""o que deixará um enorme legado esportivo, econômico e social"", completou Bach, segundo um comunicado oficial do comitê. O Brasil organizou a Copa do Mundo, que termina no domingo com a final entre Alemanha e Argentina, em meio a fortes críticas pelo atraso na construção dos estádios e das obras de mobilidade urbana, incluindo muitas que nem ficaram prontas. Mas a Copa, de alto nível técnico, poucos protestos e um clima de festa nas 12 cidades sedes, é considerada um grande sucesso pelo governo, a Fifa e analistas. ""O Brasil pode ficar muito orgulhoso da organização desta Copa do Mundo"", afirmou o presidente do COI. O sucesso do Mundial de futebol ajudará a acalmar as inquietações sobre a organização dos Jogos Olímpicos, afirmou na sexta-feira o prefeito do Rio de Janeiro, Eduardo Paes. No fim de abril, o vice-presidente do COI, John Coates, afirmou que a entidade havia sido obrigada a adotar medidas sem precedentes e enviar ao Rio de Janeiro um grupo de especialistas para acelerar os preparativos para as Olimpíadas. Coates chegou a afirmar que a organização dos Jogos Rio-2016 era a ""pior"" que havia visto em 40 anos de experiência. Pouco depois, no entanto, voltou atrás nos comentários. Além de acelerar as obras necessárias para os Jogos Olímpicos, a cidade tem como meta a limpeza da Baía de Guanabara, que receberá as competições de iatismo, Mas a limpeza total do cartão postal do Rio não será finalizada até 2016, segundo as autoridades."
