Q#,city,publication,date,descriptions
15,porto_alegre,Agence France Presse -- Portuguese,9-Jun,"Roubos e greves sê£o as principais ameaê_as para as cidades-sede do Mundial 2014, afirmaram analistas econêämicos da empresa IHS, nesta terê_a-feira. A consultoria disse ter estudado os riscos fê_sicos para os visitantes, assim como as restriê_êµes em matê©ria de transportes e o tumultuado cenêçrio econêämico e polê_tico do paê_s na atualidade. Segundo a IHS, o Brasil gastou US$ 840 milhêµes para garantir a seguranê_a durante a Copa, cinco vezes mais do que o montante investido pela êÅfrica do Sul em 2010. Cerca de 170.000 agentes de seguranê_a serê£o mobilizados para o evento. ""As autoridades brasileiras investiram fortemente em equipes de defesa e de seguranê_a para enfrentar uma ampla gama de desafios nas 12 cidades-sede"", explicou o chefe do Serviê_o de Anêçlise de Riscos da Amê©rica Latina, Laurence Allan. Os sindicatos se tornaram a principal dor de cabeê_a para o governo brasileiro, avalia a IHS, destacando que, desde que os lixeiros cariocas conseguiram um forte aumento salarial depois de uma greve, outras categorias decidiram adotar aê_êµes semelhantes. Em Belo Horizonte, Natal, Recife, Rio de Janeiro e Sê£o Paulo, o risco de roubos e de protestos nas ruas ê© muito grande. No caso do Rio, ""furtos e roubos com violê_ncia sê£o a maior ameaê_a que os visitantes enfrentam"", segundo a IHS. Em Sê£o Paulo, ""existe uma alta probabilidade de distê_rbios e de vandalismo relacionados aos protestos durante o Mundial"", ainda que o risco de ser assaltado em plena rua no centro da cidade seja ""leve"". Jêç Fortaleza, Porto Alegre e Salvador sê£o as cidades onde hêç mais chances de uma pessoa sofrer uma agressê£o, principalmente sendo vê_tima de assalto. Fortaleza ê© a sê©tima cidade mais perigosa do mundo, de acordo com o Escritê_rio das Naê_êµes Unidas contra Drogas e Crimes. No caso de Salvador, a cidade ê© conhecida ""pela violê_ncia nas ruas e pelos roubos"" durante o Carnaval - um risco que, segundo a consultoria, agora se estenderia ao Mundial. Em Porto Alegre, a ameaê_a vem pela presenê_a das ""barras bravas"" argentinos, dada a proximidade entre a capital gaê_cha e o paê_s vizinho. Brasê_lia, Cuiabêç, Curitiba e Manaus tambê©m apresentam um risco grande de roubos e brigas, acrescentou a IHS. ""ê_ certo que haverêç protestos em muitas das cidades-sede"", acrescentou Allan, lembrando que as autoridades instalaram postos de comando e de controle que permitem ""ocupar êçreas com forê_as de seguranê_a"", se for preciso. Os especialistas ressaltaram, porê©m, que ""os organizadores (dos protestos) continuam sendo capazes de coordenar manifestaê_êµes simultê¢neas em vêçrios estados, e que os Black Bloc anarquistas enfrentaram a polê_cia"". ""Se as forê_as de seguranê_a brasileiras se excederem, poderemos ver um aumento do risco de uma escalada dos protestos"", concluê_ram os analistas."
,,,,
16,porto_alegre,Folha,16-May-14,Moradores do bairro Cristal bloquearam uma rua em protesto contra o atropelamento de uma pessoa nesta sexta-feira (16).
,,,,
17,recife,Folha,28-Apr-14,Professores universit_rios fizeram manifestaçÊo na segunda-feira (28/04) devido ao atraso no pagamento de sal_rios e condiç_es prec_rias.
,,,,
18,recife,Folha,2-Apr-14,Comerciantes informais bloquearam avenida contra a transferência de seus pontos de venda.
,,,,
19,rio,AE Noticiêçrio,14-Jul,"Questionado nesta segunda-feira, 14, sobre as agressêµes a manifestantes e jornalistas que cobriam o protesto de domingo, dia 13, durante a final da Copa do Mundo, o comando da Polê_cia Militar do Rio informou no inê_cio da noite que determinou a abertura de inquê©rito para ""apurar os atos de violê_ncia de policiais contra cidadê£os durante a manifestaê_ê£o"". Pelo menos 14 cinegrafistas e fotê_grafos foram atacados por PMs na praê_a Saens Peê±a, na Tijuca, zona norte, quando registravam a repressê£o a ativistas. Em nota, a Associaê_ê£o Brasileira de Jornalismo Investigativo (Abraji) afirmou que ""agressêµes deliberadas contra comunicadores configuram atos diretos de censura e nê£o podem ser tolerados"". O documentarista canadense Jason O'Hara foi espancado por PMs com um chute no rosto e golpes de cassetete na perna. Ele ficou ferido e teve a cê¢mera de seu capacete arrancada por policiais. ""Vêçrios casos assim jêç ocorreram e isso (a investigaê_ê£o policial) nunca dêç em nada. Nê£o tenho esperanê_a de que haja justiê_a. Quem vai policiar os policiais? Minha cê¢mera foi roubada. Foi claramente uma aê_ê£o para evitar as filmagens"", disse O'Hara, diretor do filme Ritmos de Resistê_ncia, sobre as UPPs do Rio. O posicionamento da PM mudou ao longo do dia. êã tarde, quando o Estado perguntou sobre a abertura de inquê©rito policial-militar, a corporaê_ê£o enviou o mesmo posicionamento da vê©spera, informando apenas que ""todas as denê_ncias relativas a excesso na aê_ê£o de PMs estê£o sendo encaminhadas ê_ Corregedoria e apuradas"". êã noite, o tom era outro: ""O Comando esclarece que repudia estes atos revelados por imagens de cinegrafistas amadores"". A PM, entretanto, afirmou que serêç mantido no cargo o coronel Luiz Henrique Marinho, comandante do 5.Ô_ Batalhê£o, responsêçvel pelo policiamento no entorno do Maracanê£ no domingo. A reportagem pediu uma entrevista com o coronel, que nê£o foi autorizada. Diversas imagens e vê_deos divulgados em redes sociais mostram ataques deliberados a profissionais da imprensa. Procurados pela reportagem, o governador Luiz Fernando Pezê£o (PMDB) e o secretêçrio de Seguranê_a, Josê© Mariano Beltrame, recusaram-se a comentar as agressêµes. A Abraji contabilizou 38 casos de prisêµes, agressêµes e detenê_êµes envolvendo 36 profissionais da comunicaê_ê£o durante a cobertura de manifestaê_êµes no perê_odo da Copa. ""Seguindo o padrê£o observado desde junho do ano passado, a maioria das violaê_êµes (89%) partiu da polê_cia. Dentre estas, 52% foram intencionais - ou seja, o comunicador se identificou como profissional a serviê_o ou portava identificaê_ê£o ê_ vista. As demais agressêµes partiram de manifestantes e de seguranê_as privados da Fifa"", relata a entidade. O protesto de domingo no Rio concentrou o maior nê_mero de ocorrê_ncias. De acordo com a Abraji, as agressêµes foram comprovadamente propositais em 8 dos 14 casos - nos outros, nê£o ê© possê_vel afirmar. O Sindicato dos Jornalistas do Rio divulgou um balanê_o com 15 nomes, mas a Abraji nê£o considerou em seu relatê_rio o caso de Gizele Martins (que teve uma crise de asma por inalaê_ê£o de gêçs lacrimogê_neo) por entender que nê£o houve direcionamento especê_fico contra a jornalista. Em nota sobre o cerco policial de domingo, a ONG Justiê_a Global afirmou que ""o Estado de Exceê_ê£o tem se tornado cada vez mais comum"". Para a Abraji, os casos ""evidenciam o uso desproporcional de forê_a por parte da polê_cia durante manifestaê_êµes e o desrespeito ao direito fundamental da liberdade de expressê£o""."
,,,,
20,rio,AE Noticiêçrio,11-Jul,"O Palêçcio do Planalto manterêç o reforê_o na seguranê_a de Brasê_lia, Belo Horizonte, Sê£o Paulo e Rio de Janeiro neste domingo, 13, depois da final da Copa, apesar de dispor de informaê_êµes indicando que serê£o esvaziadas as manifestaê_êµes de rua programadas por grupos na internet. A ordem ê© evitar violê_ncia e destruiê_ê£o de patrimêänio. O ministro-chefe da Secretaria-Geral da Presidê_ncia, Gilberto Carvalho, classificou como ""um lixo"" o vê_deo de convocaê_ê£o do Anonymus para a manifestaê_ê£o, que serêç ""um redondo fracasso"", em sua avaliaê_ê£o. Gilberto Carvalho, que jêç havia pedido ""bom senso"" e ""cabeê_a fria"" aos manifestantes e para que as pessoas evitassem se contaminar com mobilizaê_êµes movidas pela decepê_ê£o com a derrota vergonhosa do Brasil para a Alemanha, disse que tem ""plena convicê_ê£o que a convocatê_ria para domingo serêç um redondo fracasso, com presenê_a de poucos representantes deste tipo de juventude engomadinha"". Para o ministro, esta ê© uma ""convocaê_ê£o covarde e anêänima, com bico grande e coragem pequena de assumir o que faz"". Indignado com a forma como a convocaê_ê£o estêç sendo realizada, o ministro Gilberto acrescentou que este vê_deo foi produzido por quem ""nê£o tem coragem de assinar o que faz, e, no seu anonimato, mostra, de novo, o oportunismo de conservadores, tal como aconteceu em junho, tentando surfar na onda das mobilizaê_êµes para fazer uma campanha anti-PT, anti governo"". O ministro reiterou que acredita no fracasso da manifestaê_ê£o. Segundo o governo, os Centros de Coordenaê_ê£o de Defesa de êÅrea criados para atuar na seguranê_a durante a Copa, estê£o compartilhando informaê_êµes e acompanhando atentamente todo e qualquer dado sobre os protestos. No caso de Brasê_lia, onde a manifestaê_ê£o estêç prevista para ser realizada na Praê_a dos Trê_s Poderes, a ideia ê© reforê_ar o policiamento do Palêçcio do Planalto, do Supremo Tribunal Federal e atê© mesmo do Congresso, para evitar qualquer possibilidade de destruiê_ê£o do patrimêänio pê_blico, como houve no ano passado, quando o Itamaraty foi atingido e teve vidraê_as quebradas. No caso do Palêçcio do Planalto, sempre que hêç manifestaê_êµes, hêç reforê_o na seguranê_a nê£o sê_ da Polê_cia Militar do DF, mas tambê©m da Polê_cia do Exê©rcito, alê©m dos prê_prios seguranê_as da Presidê_ncia. Na frente do Planalto, o Gabinete de Seguranê_a Institucional mantê©m duas fileiras de grades, para impedir o avanê_o de manifestantes. Perguntado sobre o reforê_o de seguranê_a, o GSI afirmou que ""os eventos que possam comprometer a seguranê_a da Copa do Mundo tê_m sido acompanhados pelo Sistema Brasileiro de Inteligê_ncia e difundidos, em momento oportuno, aos diferentes ê_rgê£os de seguranê_a envolvidos"". Nê£o indica, no entanto, que tipo de aê_ê£o serêç executada."
,,,,
21,rio,AE Noticiêçrio,21-Jun,"Vêçrios candidatos com chances de chegar ao 2.Ô_ turno, uma briga sem trê©gua entre PT e PMDB e a alta rejeiê_ê£o dos concorrentes marcam a disputa pelo governo do Rio de Janeiro, terceiro colê©gio eleitoral do Paê_s, com 12 milhêµes de votantes. Esse quadro cria um constrangimento para a presidente Dilma Rousseff, candidata ê_ reeleiê_ê£o, que viu parte do PMDB migrar para a candidatura presidencial do tucano Aê©cio Neves, em resposta ao lanê_amento do senador petista Lindbergh Farias ao Palêçcio Guanabara, sede do Executivo fluminense. O governador Luiz Fernando Pezê£o (PMDB), que assumiu em abril e disputarêç a reeleiê_ê£o, promete apoiar Dilma, mas diz nê£o ter como evitar o movimento ""Aezê£o"" (voto conjunto em Aê©cio e Pezê£o). Pezê£o terêç na chapa o antecessor e padrinho polê_tico, Sê©rgio Cabral, candidato ao Senado. Embora tenham sido protagonistas dos maiores embates atê© agora, Pezê£o e Lindbergh nê£o sê£o os favoritos. Pesquisa Ibope encomendada pela Federaê_ê£o das Indê_strias do Rio de Janeiro (Firjan), realizada entre 7 e 11 de junho, mostra o prê©-candidato do PR, o ex-governador Anthony Garotinho, na lideranê_a, com 18% das intenê_êµes de voto. O senador e ex-ministro Marcelo Crivella (PRB) tem 16%. Pezê£o tem 13% e Lindbergh, 11%. Em quinto aparece o ex-prefeito Cesar Maia (DEM), com 8%. Miro Teixeira (PROS, que desistiu da candidatura) e Tarcê_sio Motta (PSOL) tiveram 1% cada. Como a margem de erro ê© de trê_s pontos porcentuais, Garotinho, Crivella e Pezê£o estê£o tecnicamente empatados. O que mais desafia os prê©-candidatos ê© a alta proporê_ê£o de eleitores que, a trê_s meses e meio da eleiê_ê£o, pretendem votar em branco ou nulo: 27%. ê_ um porcentual elevado se comparado a pesquisas de outras campanhas, quando brancos e nulos ficavam em torno de 20% nesta ê©poca. O Ibope tambê©m mostrou que ê_ exceê_ê£o de Crivella, todos os candidatos tê_m rejeiê_ê£o maior que a intenê_ê£o de voto. Garotinho estêç em primeiro no quesito, com 32% de entrevistados que nê£o votariam nele em nenhuma hipê_tese. Cesar Maia ê© rejeitado por 24%, Pezê£o por 18% e Lindbergh por 14%. A revolta do eleitorado fluminense se explica em grande parte pelo comportamento de Sê©rgio Cabral, que viu as realizaê_êµes de sua administraê_ê£o, como as Unidades de Polê_cia Pacificadoras (UPPs) e a retomada de investimentos, ofuscadas por viagens luxuosas para a Europa, em companhia de empresêçrios prestadores de serviê_o ao Estado, e pelo uso de helicê_ptero oficial para transportar a famê_lia para a casa de veraneio. Cabral chegou a apenas 18% de avaliaê_ê£o boa/ê_tima, segundo pesquisa CNI/Ibope de dezembro, ainda em reflexo dos protestos iniciados no meio do ano passado. Na pesquisa mais recente, porê©m, Cabral lidera entre os prê©-candidatos ao Senado, com 26%, seguido por Romêçrio (22%). As informaê_êµes sê£o do jornal  O Estado de S. Paulo."
,,,,
22,rio,AE Noticiêçrio,12-Jun,"Manifestantes fizeram passeata, nesta quinta-feira, 12, no Rio, pela Avenida Rio Branco, no trecho entre a Candelêçria e a Cinelê¢ndia, e chegaram aos Arcos da Lapa. A manifestaê_ê£o, acompanhada de perto por dezenas de policiais militares, teve clima pacê_fico. Na chegada ê_ Cinelê¢ndia e ê_ Lapa, o grupo comeê_ou a se dispersar. Muitos jêç comeê_aram a seguir para Copacabana, onde estêç marcado um protesto em direê_ê£o a Fan Fest da Fifa. No protesto da manhê£, marcado pelo clima alegre mas tambê©m por palavras de ordem contra os governantes, nê£o houve confronto entre polê_cia e ativistas. A Polê_cia Militar do Rio inaugurou hoje os equipamentos de filmagem com transmissê£o online, a exemplo do que fazem ativistas da chamada mê_dia livre desde o inê_cio das manifestaê_êµes no Brasil, em 2013. As imagens vê£o para o Centro Integrado de Comando e Controle (CICC) da Secretaria de Seguranê_a do Estado. Um sargento do Batalhê£o de Polê_cia de Choque (BPChq), que opera o equipamento, chegou a ser cercado, nesta quinta-feira, por militantes e jornalistas na esquina da rua Araê_jo Porto Alegre com Avenida Rio Branco, mas nê£o houve confronto."
,,,,
